topic,student_id,writing_id,group,is_cii,cor_sent,cor_if_head,cor_if_head_lemma,cor_main_head,cor_main_aux
59,90335,285536,lower,True,"If I had time, I'd go to music class to learn to play Guzheng, a Chinese traditional instrument.",had,have,go,'d
59,90335,285536,lower,True,"If my daughter went to college, I'd enjoy reading the books I love.",went,go,enjoy,'d
59,77064,292052,lower,True,"If I had enough time and money, I'd love to travel around the world, see the beautiful scenery, and eat the delicious dishes in different countries.",had,have,love,'d
59,77064,292052,lower,True,"If I had a chance, I would go to the moon, and walk on it to leave my footprints on the moon.",had,have,go,would
59,28365,293420,lower,True,"Nevertheless, you would be happy if one day a dream of yours came true.",came,come,be,
59,139429,296427,lower,True,"If I finished writing my novel, I would try to publish it.",finished,finish,try,would
59,148841,304802,lower,True,If I won the lottery I'd only travel around the world to know many cultures.,won,win,travel,'d
59,78348,306905,lower,True,"If I had more money, I'd like to learn Arabic language in Saudi Arabia because there are many famous universities for foreign students who come from different parts of the world.",had,have,like,'d
59,78348,306905,lower,True,"If I had more money, I'd like to buy a big house for me and my family.",had,have,like,'d
59,112131,308846,lower,True,"If a won the lottery, I would travel around the world and know others bookstores, because I love toknow bookstores which is my favorite place.",won,win,travel,would
59,173591,320236,lower,True,"If I had an opportunity to show my potential for someone how to administrate a business, I would make the business to grow a lot.",had,have,make,would
59,58154,32630,lower,True,If I won the super lotto game I would go to a private Caribbean island with some friends and I would adopt 10 African kids with their families and stay all together!,won,win,go,would
59,145815,327439,lower,True,If I managed to do this it would be easier for me to reach my first wish.,managed,manage,managed,
59,145815,327439,lower,True,If we knew cultures of other people we could improve our lives.,knew,know,improve,could
59,150113,327545,lower,True,"Bucket list: If I had healthy, I would become pregnant naturally, without treatment.",had,have,become,would
59,150113,327545,lower,True,"If I had a lot of money, I would travel around the world.",had,have,travel,would
59,150113,327545,lower,True,"If I had vacation on this month, I would know the Disneyland.",had,have,know,would
59,150113,327545,lower,True,"If I had more time, I would do more exercise.",had,have,do,would
59,150113,327545,lower,True,"If I had more time, I would learn English faster.",had,have,learn,would
59,150113,327545,lower,True,"If I won the lottery, I would buy a big house for my parents, other house for me and give money for the charity.",won,win,buy,would
59,75120,32838,lower,True,"If I was recognized by my company , I would haveenough confidence to speak out of my love to a girl I have been having a secret love for.",recognized,recognize,haveenough,would
59,91721,330730,lower,True,If I won the lottery I would travel around the world.,won,win,travel,would
59,1324,33272,lower,True,"If I had a lottery, I would buy a big house for my parents.",had,have,buy,would
59,49059,350899,lower,True,"I still have a lot of dreams, but ithas changed, if I won a lottery, I would open my own business at the beach, maybe a restaurant at Mediterranean or a pub at Caribbean beach, these are my dreams now.",won,win,have,
59,27932,358374,lower,True,"If I won a lottery, I would build a house for my family in a beautiful place.",won,win,build,would
