topic,student_id,writing_id,group,is_cii,cor_sent,cor_if_head,cor_if_head_lemma,cor_main_head,cor_main_aux
46,113008,1058719,lower,False,"Basically, if a player can combine his cards with the common cards to obtain a good combination which is ranked by a chart, and better than the others, he wins.",combine,combine,wins,
46,113008,1058719,lower,False,"If you don't want to bet, you can step aside for that round.",want,want,step,can
46,57577,1059046,lower,False,"The most interesting thing is based on your decisions by the game changing it's history, if you are a role player in the game this game will be fantastic.",player,player,based,
46,83308,1061077,lower,False,"If a player manages to take one of your stones until the end of the board, the pawn is promoted to the lady or queen.",manages,manage,promoted,is
46,113562,1061326,lower,False,"If you win, you get to go to the next level.",win,win,get,
46,113562,1061326,lower,False,It's a lot of fun if you win.,win,win,'s,
46,35835,1061701,lower,False,"If you rule the number, you have to move your game piece on as much spaces.",rule,rule,have,
46,35835,1061701,lower,False,"If you bought the lands of one color, there are many possibilities to build houses and hotels and to take a payment for a stop of other players on this place.",bought,buy,are,
46,149801,1061997,lower,False,"If you hold your finger for one second, your spaceship flies.",hold,hold,flies,
46,149801,1061997,lower,False,"If you hold it for two, your spaceship shoots.",hold,hold,shoots,
46,149801,1061997,lower,False,"If you hold your finger a long time, you get the Door of Destruction: A special door opens and destroys 50 aliens.",hold,hold,get,
46,161870,1062819,lower,False,"If you prefer, I will explain the rules once more.",prefer,prefer,explain,will
46,73249,1064539,lower,False,"Well it starts when the first player picks a card and has to do without speaking, if the other group can guess the word, it is point for them.",guess,guess,starts,
46,125814,1065662,lower,False,"If the Seeker finds all the hiders, the Seeker wins.",finds,find,wins,
46,53544,1066079,lower,False,"If you hold your finger for one second, your spaceship flies.",hold,hold,flies,
46,53544,1066079,lower,False,"If you hold it for two, your spaceship shoots.",hold,hold,shoots,
46,53544,1066079,lower,False,"If you hold your finger a long time, you get the Door of Destruction: A special door opens and destroys 50 aliens.",hold,hold,get,
46,161406,1066120,lower,False,"If you move quickly and exactly, you may catch the kids who is nearest from you.",move,move,catch,may
46,47541,1066260,lower,False,"If the zombies destroy your plants and get into your house, you lose.",destroy,destroy,lose,
46,33407,1066512,lower,False,"If he find the handkerchief, he have to run fast as quick as he can to catch you.",find,find,have,
46,33407,1066512,lower,False,"If you run back to the place you are sit before, you are win.",run,run,win,
46,33407,1066512,lower,False,"If you grasped by him, you are the loser and you will continue to throw the handkerchief.",grasped,grasp,grasped,
46,168848,1066679,lower,False,"If you choose Truth, you have to answer a question honestly that is asked by the winner and if you choose Dare, you have to act a behavior that is told by the winner.",choose,choose,have,
46,92398,1066989,lower,False,"Let me introduce some rules of the game, because it's very hard to explain, four players play the game together, each one can get thirteen of mahjong tiles at first, roll the dice to compare the biggest one, then he can play the game first, you can get four type of mahjong tailes, they names 'hua' 'wanzi' 'tongzi' 'tiaozi', players is allowed to choose one of them to keep in hand, if you choose 'tiaozi' you have to throw out 'tongzi' 'wanzi', but the 'hua' can get extra points, there are three ways to win the game, when you throw out all of your mahjong tailes or you get the mahjong tail you need, or you play the mahjong tail others need.",choose,choose,Let,
46,122652,1067571,lower,False,The white side wins if it occupies more space than the black side.,occupies,occupy,wins,
46,31919,1067690,lower,False,"The person who chooses the card guesses the word; if his answer is right, the team gets one point.",right,right,guesses,
46,44141,1067877,lower,False,"If cut it, you will lose one life.",cut,cut,lose,will
46,44141,1067877,lower,False,"If you have enough money, you can buy good props in the store.",have,have,buy,can
46,75161,1068096,lower,False,"If you catch someone, then you win.",catch,catch,win,
46,141532,1068171,lower,False,"If you kill all the zombies, you can open the next level.",kill,kill,open,can
46,141532,1068171,lower,False,If a zombie eats all the plants on his trail he can bump into your house at last and eat your brain!,eats,eat,bump,can
46,67105,1068304,lower,False,"In the CS, if you would not like to be a visitor, you must play a role of either of a side of two competitive groups, counter-strike or terrorist.",like,like,play,must
46,76255,1068434,lower,False,You are allowed to capture pieces if your pieces surround the others ones.,surround,surround,allowed,are
46,76255,1068434,lower,False,If your places are more than the others.,more,more,are,
46,21095,1068589,lower,False,"If all the buildings of your enemy are destroyed by you, you win the game.",are,be,win,
46,164618,1068846,lower,False,"If one team scored more point than the other team, this will win.",scored,score,win,will
46,54584,1068924,lower,False,"If you level up, you also can strong yourself, for example, your health, speed and gliding ability.",level,level,strong,can
46,54584,1068924,lower,False,"If you fail in the mission, don't worry, you can start over the level.",fail,fail,worry,do
46,91015,1069746,lower,False,"If you hold your finger for one second, your spaceship flies.",hold,hold,flies,
46,91015,1069746,lower,False,"If you hold it for two, your spaceship shoots.",hold,hold,shoots,
46,91015,1069746,lower,False,"If you hold your finger for a long time, you get the Door of Destruction: A special door opens and destroys 50 aliens.",hold,hold,get,
46,114018,1070538,lower,False,"If you are turn, you have to pick up one of the block from any level except top level, and put it on the top line.",turn,turn,have,
46,114018,1070538,lower,False,"If the tower falls in your turn, you are lose.",falls,fall,lose,are
46,60016,1071848,lower,False,You can also gain some shining stars if you have high scores.,have,have,gain,can
46,66317,1073715,lower,False,"If they find the mafia they win, if not, the mafia kill one of the peaceful citizens next round.",find,find,kill,
46,27108,1075573,lower,False,"After that, both show their hands hiding a few fingers, if you count her fingers and whoever wins has hit parity of the number of fingers.",count,count,show,
46,139610,1075722,lower,False,"If the adjacent square contains an opponent piece, it may be captured (and removed from the game) by jumping over it to the unoccupied square immediately beyond it.",contains,contain,captured,may
46,76294,1076316,lower,False,"If you hold your finger for one second, your spaceship flies.",hold,hold,flies,
46,76294,1076316,lower,False,"If your spaceship shoots an alien, you get 100 points.",shoots,shoot,get,
46,42001,1077452,lower,False,"If you complete all squares, you finished the game.",complete,complete,finished,
46,80545,1079582,lower,False,"If you hold your finger for a second, your spaceship flies.",hold,hold,flies,
46,80545,1079582,lower,False,"If you hold it for two, your spaceship shoots.",hold,hold,shoots,
46,80545,1079582,lower,False,"If you hold your finger for a long time, you get the Door of Destruction: A special door opens and destroys 50 aliens.",hold,hold,get,
46,42593,1081405,lower,False,"If he catches him and they can't catch him before he goes outside again, the person who was caught first must be out and complete this game.",catches,catch,catches,
46,148160,1081539,lower,False,"If you put one wrong number, in the end you can't complete it.",put,put,complete,ca
46,44626,1082187,lower,False,"If not, that means you lose the game.",not,not,means,
46,62869,1082247,lower,False,"For example, if the category is country, you name yourself such as South Africa, Australia...",country,country,name,
46,62869,1082247,lower,False,"And if the card is the same number as anyone, you have to call the name of each other.",number,number,have,
46,62869,1082247,lower,False,You get all cards from the player if you call first.,call,call,get,
46,24702,1083049,lower,False,"You have to create a personage, then if you want you can build a house or choose it.",want,want,have,
46,46895,1083097,lower,False,"If you don't know futvolley, take it easy Futvolley it is not a card game or a board game, or even an acting game.",know,know,take,
